pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,323.21,1.178,12.2,4914.89849,14.9,0.238,,G8 III,4874,13.76,2.09,1.978,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,516.21997,1.53,12.3,4684.8142,13.8,0.08,,K4 III,4213,29.79,2.78,2.43,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,5.013
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,186.76,0.775,13.1,1131.1513,2.76,0,,K0 III,4888,11.55,1.78,1.84,,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,1765.0389,2.774,12.6,2559.47216,7.03,0.373,144.652,K0 V,5338,0.93,0.91,-0.153,1.27393,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,798.5,1.66,13.5,565.7374,1.26,0.68,,G3 V,5750,1.13,1.08,0.097,1.01103,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215
17 Sco b,17 Sco,Radial Velocity,2020,Lick Observatory,Coude Auxiliary Telescope,578.38,1.45,12.9,1373.01872,3.51,0.06,,K3 III,4157,25.92,1.22,2.254,,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,5.22606
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,982.85,2.476,12.5,2926.24614,8.23,0.024,,G6 III,4980,8.8,2.1,1.634,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,5994.747701,330,18.647,3000,2.54,,,K7 V,4060,1.31,0.85,-0.37,0.38789,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,12.618
24 Boo b,24 Boo,Radial Velocity,2018,Okayama Astrophysical Observatory,1.88 m Telescope,30.33,0.194,13.9,280.64248,0.574,0.032,,G3 IV,4816,12.19,1.05,1.877,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59
24 Sex b,24 Sex,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,452.8,1.333,13.4,632.46,1.44,0.09,,K0 IV,5098,4.9,1.54,1.164,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535
24 Sex c,24 Sex,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,883,2.08,13.9,273.32,0.559,0.29,,K0 IV,5098,4.9,1.54,1.164,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535
2M0437 b,2MASS J04372171+2651014,Imaging,2021,Subaru Telescope,8.2 m Subaru Telescope,1281.808098,118,13,1271.31363,3.18,,,M V,3100,0.84,0.17,-1.164,3.32018,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.484,16.186
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,769.8727168,84,12.3,4131.79,12.2,,,M5.5/M6,3000,0.784570379,0.19,-1.346787486,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2,15.788
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,W. M. Keck Observatory,10 m Keck II Telescope,374.9773326,52,11.209,7786.5,30.4,,,M3.5 V,3530,0.37,0.4,-1.72,10.11868,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,14.244
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,1948.439376,156,16.141,4417.837,5.77,,,M6,3064,0.28,0.11,-2.23,17.67076,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,0
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,Mauna Kea Observatory,3.58 m Canada-France-Hawaii Telescope (CFHT),86109.66845,1950,12.4,3686.80952,10.6,,,M6 V,2859,0.32,0.05,-2.59,13.18121,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.0613,18.3
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,13680.25029,572,12.2,5720.91133,17.3,,,M,2943,0.29,0.26,-2.246,15.35385,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.435,23.31649948
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,Hubble Space Telescope,2.4 m Hubble Space Telescope,58.09475019,15,12.6,2383.6,6.55,,,M8.5,2936,0.23,0.02,-2.444,22.7811,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.423987,0
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,14221.88465,587,12.1,6356.56814,19.7,,,M,3021,0.6,0.59,-1.568,3.83213,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.862,16.957
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,407.8909168,55,12.9,1589.15,4.07,,,M8,2825,0.22,0.02,-2.561,25.27945,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,20.15
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,Kepler,0.95 m Kepler Telescope,406,0.92,13.4,603.877,1.38,0.33,,B,29564,0.2,0.48,1.45,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,12.651
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,648609.9384,7493,12.4,3813.94088,11,,,M,3592,0.67,0.64,-1.168,2.98068,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.1154,11.804
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,W. M. Keck Observatory,10 m Keck II Telescope,3488.122704,230,12.3,3972.875,11.7,,,K7 V,4045,0.64,0.6,-1.021,3.36994,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737,12.368
30 Ari B b,30 Ari B,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,335.10001,0.99,12.3,4392.4106,13,0.29,,F6 V,6331,1.41,1.93,0.381,0.743,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,7.09209
4 UMa b,4 UMa,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,270.27,0.877,12.6,2511.48007,6.9,0.453,,K1 III,4415,18.11,1.23,2.062,,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,4.5801
