# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 01:45:43 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,323.21000000,1.178000,12.200,4914.89849,14.900000,0.238000,,G8 III,4874.00,13.76,2.09,1.978,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,4.7230700
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,516.21997000,1.530000,12.300,4684.81420,13.800000,0.080000,,K4 III,4213.00,29.79,2.78,2.430,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,5.0130000
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,186.76000000,0.775000,13.100,1131.15130,2.760000,0.000000,,K0 III,4888.00,11.55,1.78,1.840,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,5.2313300
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,1765.03890000,2.774000,12.600,2559.47216,7.030000,0.373000,144.652,K0 V,5338.00,0.93,0.91,-0.153,1.27393,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,6.6193500
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,798.50000000,1.660000,13.500,565.73740,1.260000,0.680000,,G3 V,5750.00,1.13,1.08,0.097,1.01103,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,6.2150000
17 Sco b,17 Sco,Radial Velocity,2020,Lick Observatory,Coude Auxiliary Telescope,578.38000000,1.450000,12.900,1373.01872,3.510000,0.060000,,K3 III,4157.00,25.92,1.22,2.254,,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000,5.2260600
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,982.85000000,2.476000,12.500,2926.24614,8.230000,0.024000,,G6 III,4980.00,8.80,2.10,1.634,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,5.5104800
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,,330.000000,18.647,3000.00000,2.540000,,,K7 V,4060.00,1.31,0.85,-0.370,0.38789,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,12.6180000
24 Boo b,24 Boo,Radial Velocity,2018,Okayama Astrophysical Observatory,1.88 m Telescope,30.33000000,0.194000,13.900,280.64248,0.574000,0.032000,,G3 IV,4816.00,12.19,1.05,1.877,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,5.5900000
24 Sex b,24 Sex,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,452.80000000,1.333000,13.400,632.46000,1.440000,0.090000,,K0 IV,5098.00,4.90,1.54,1.164,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,6.4535000
